	premise	hypothesis	gold_label_x	__index_level_0__	label	filename	determiner	monotonicity	gold_label_y	replace_target	replace_source	replace_mode	ori_sentence	new_sentence	Exist
19279	We need to buy some dog food .	We need to buy some dog provender .	neutral	22641	1	silver/p93/d2450	some	upward_monotone	neutral	food	provender	noun_hyponym_obj	We need to buy some dog food .	We need to buy some dog provender .	True
24467	My little~brother asked for some scratch .	My little~brother asked for some money .	entailment	28176	0	gold/p91/d1400	some	upward_monotone	entailment	money	scratch	noun_hypernym_obj	My little~brother asked for some scratch .	My little~brother asked for some money .	True
22260	Tom earned some money by mowing lawns .	Tom earned some monetary fund by mowing lawns .	neutral	25682	1	silver/p30/d1955	some	upward_monotone	neutral	money	monetary fund	noun_hyponym_obj	Tom earned some money by mowing lawns .	Tom earned some monetary fund by mowing lawns .	True
21507	There were some masters in the classroom .	There were some students in the classroom .	entailment	24851	0	silver/p38/d1872	some	upward_monotone	entailment	students	masters	noun_hypernym_obj	There were some masters in the classroom .	There were some students in the classroom .	True
24532	I got some money from an ATM .	I got some bread from an ATM .	neutral	28279	1	gold/p49/d0942	some	upward_monotone	neutral	money	bread	noun_hyponym_obj	I got some money from an ATM .	I got some bread from an ATM .	True
24326	There are some bags in the room .	There are some book bags in the room .	neutral	28024	1	gold/p51/d3281	some	upward_monotone	neutral	bags	book bags	noun_hyponym_obj	There are some bags in the room .	There are some book bags in the room .	True
22552	I wrote some weekend .	I wrote some poems last weekend .	neutral	25999	1	silver/p65/d2196	some	upward_monotone	neutral	some poems last weekend	some weekend	simple	I wrote some weekend .	I wrote some poems last weekend .	True
24930	All journeys begin with a curtain raiser .	All journeys begin with a first~step .	entailment	28724	0	gold/p10/d2993	all	upward_monotone	entailment	first~step	curtain raiser	verb_hyponym	All journeys begin with a curtain raiser .	All journeys begin with a first~step .	True
24200	Brian took some mountain roses .	Brian took some roses .	entailment	27916	0	silver/p23/d0956	some	upward_monotone	entailment	roses	mountain roses	noun_hypernym_obj	Brian took some mountain roses .	Brian took some roses .	True
20290	I have some bad news for you .	I have some bad interests for you .	entailment	23681	0	silver/p10/d1772	some	upward_monotone	entailment	news	interests	noun_hypernym_obj	I have some bad news for you .	I have some bad interests for you .	True
22868	There seems to be some genetic problem with this being .	There seems to be some genetic problem with this animal .	neutral	26345	1	silver/p44/d2382	some	upward_monotone	neutral	animal	being	noun_hypernym_obj	There seems to be some genetic problem with this being .	There seems to be some genetic problem with this animal .	True
18873	I met some friends while I was waiting for a bus .	I met some anglophils while I was waiting for a bus .	neutral	22186	1	silver/p22/d2459	some	upward_monotone	neutral	friends	anglophils	noun_hyponym_obj	I met some friends while I was waiting for a bus .	I met some anglophils while I was waiting for a bus .	True
24556	I got some money from an ATM .	I got some pelf from an ATM .	neutral	28303	1	gold/p49/d0942	some	upward_monotone	neutral	money	pelf	noun_hyponym_obj	I got some money from an ATM .	I got some pelf from an ATM .	True
22616	Tom took some artistic license .	Tom took some artistic dispensation .	neutral	26074	1	silver/p74/d2485	some	upward_monotone	neutral	license	dispensation	noun_hyponym_obj	Tom took some artistic license .	Tom took some artistic dispensation .	True
19249	We need to buy some dog victual .	We need to buy some dog food .	entailment	22620	0	silver/p93/d2450	some	upward_monotone	entailment	food	victual	noun_hypernym_obj	We need to buy some dog victual .	We need to buy some dog food .	True
21626	You need some more practice .	You need some more pattern .	neutral	24996	1	silver/p73/d3464	some	upward_monotone	neutral	practice	pattern	noun_hyponym_obj	You need some more practice .	You need some more pattern .	True
19511	She bought some rye barmbrack .	She bought some rye bread .	entailment	22884	0	silver/p34/d3486	some	upward_monotone	entailment	bread	barmbrack	noun_hypernym_obj	She bought some rye barmbrack .	She bought some rye bread .	True
19653	Tom has been here for some time .	Tom has been here for some case .	entailment	23029	0	silver/p48/d2593	some	upward_monotone	entailment	time	case	noun_hypernym_obj	Tom has been here for some time .	Tom has been here for some case .	True
18139	There are some eggs in the box .	There are some undescended testes in the box .	neutral	21354	1	silver/p19/d3404	some	upward_monotone	neutral	eggs	undescended testes	noun_hyponym_obj	There are some eggs in the box .	There are some undescended testes in the box .	True
24799	There is some coal in the stream .	There is some coal in the rill .	neutral	28553	1	gold/p07/d2184	some	upward_monotone	neutral	stream	rill	noun_hyponym_obj	There is some coal in the stream .	There is some coal in the rill .	True
18891	I met some partizans while I was waiting for a bus .	I met some friends while I was waiting for a bus .	entailment	22204	0	silver/p22/d2459	some	upward_monotone	entailment	friends	partizans	noun_hypernym_obj	I met some partizans while I was waiting for a bus .	I met some friends while I was waiting for a bus .	True
19656	Tom has been here for some instance .	Tom has been here for some time .	neutral	23032	1	silver/p48/d2593	some	upward_monotone	neutral	time	instance	noun_hypernym_obj	Tom has been here for some instance .	Tom has been here for some time .	True
21030	Tom bought some Dame's violets for Mary .	Tom bought some flowers for Mary .	entailment	24404	0	silver/p12/d2031	some	upward_monotone	entailment	flowers	Dame's violets	noun_hypernym_obj	Tom bought some Dame's violets for Mary .	Tom bought some flowers for Mary .	True
20252	I bought some bread on the way home from work .	I bought some rye bread on the way home from work .	neutral	23638	1	silver/p04/d3222	some	upward_monotone	neutral	bread	rye bread	noun_hyponym_obj	I bought some bread on the way home from work .	I bought some rye bread on the way home from work .	True
24499	He sang some old songs .	He sang some old dirges .	neutral	28219	1	gold/p04/d1632	some	upward_monotone	neutral	songs	dirges	noun_hyponym_obj	He sang some old songs .	He sang some old dirges .	True
21366	Tom bought some wallflowers for Mary .	Tom bought some flowers for Mary .	entailment	24704	0	silver/p12/d2031	some	upward_monotone	entailment	flowers	wallflowers	noun_hypernym_obj	Tom bought some wallflowers for Mary .	Tom bought some flowers for Mary .	True
21169	Tom bought some flowers for Mary .	Tom bought some prairie rockets for Mary .	neutral	24534	1	silver/p12/d2031	some	upward_monotone	neutral	flowers	prairie rockets	noun_hyponym_obj	Tom bought some flowers for Mary .	Tom bought some prairie rockets for Mary .	True
24049	Tom had some gum stuck on the bottom of one of his shoes .	Tom had some gum stuck on the bottom of one of his mocassins .	neutral	27730	1	silver/p67/d3178	some	upward_monotone	neutral	shoes	mocassins	noun_hyponym_obj	Tom had some gum stuck on the bottom of one of his shoes .	Tom had some gum stuck on the bottom of one of his mocassins .	True
19261	We need to buy some dog viand .	We need to buy some dog food .	entailment	22630	0	silver/p93/d2450	some	upward_monotone	entailment	food	viand	noun_hypernym_obj	We need to buy some dog viand .	We need to buy some dog food .	True
20816	Actually , he thanked some of his popularity to his mother .	Actually , he thanked some of his popularity to his priores .	entailment	24210	0	silver/p12/d0909	some	upward_monotone	entailment	mother	priores	noun_hypernym_obj	Actually , he thanked some of his popularity to his mother .	Actually , he thanked some of his popularity to his priores .	True
24899	I sold burke all my records .	I sold off all my records .	entailment	28670	0	silver/p82/d2765	all	upward_monotone	entailment	off	burke	verb_hyponym	I sold burke all my records .	I sold off all my records .	True
24942	All the students study west germanic language .	All the students study English .	neutral	28736	1	gold/p30/d0793	all	upward_monotone	neutral	English	west germanic language	verb_hypernym	All the students study west germanic language .	All the students study English .	True
21696	The police conducted an offensive against some drug dealers .	The police conducted an offensive against some drug slop-sellers .	neutral	25069	1	silver/p23/d3112	some	upward_monotone	neutral	dealers	slop-sellers	noun_hyponym_obj	The police conducted an offensive against some drug dealers .	The police conducted an offensive against some drug slop-sellers .	True
22025	I just wish I could have some alone time with someone .	I just wish I could have some alone time with Tom .	neutral	25407	1	silver/p03/d3315	some	upward_monotone	neutral	Tom	someone	noun_hypernym_obj	I just wish I could have some alone time with someone .	I just wish I could have some alone time with Tom .	True
19110	He thrust some coins into my pocket .	He thrust some coinages into my pocket .	entailment	22436	0	silver/p97/d1794	some	upward_monotone	entailment	coins	coinages	noun_hypernym_obj	He thrust some coins into my pocket .	He thrust some coinages into my pocket .	True
20130	We are thinking of buying some new furniture .	We are thinking of buying some new wash-hand stand .	neutral	23518	1	silver/p35/d0824	some	upward_monotone	neutral	furniture	wash-hand stand	noun_hyponym_obj	We are thinking of buying some new furniture .	We are thinking of buying some new wash-hand stand .	True
18770	I need some wholemeal bread .	I need some wholemeal brown bread .	neutral	22035	1	silver/p14/d3393	some	upward_monotone	neutral	bread	brown bread	noun_hyponym_obj	I need some wholemeal bread .	I need some wholemeal brown bread .	True
19004	Tom asked Mary to go to the store to buy some bread .	Tom asked Mary to go to the store to buy some brown bread .	neutral	22330	1	silver/p24/d2981	some	upward_monotone	neutral	bread	brown bread	noun_hyponym_obj	Tom asked Mary to go to the store to buy some bread .	Tom asked Mary to go to the store to buy some brown bread .	True
18785	I need some wholemeal bread .	I need some wholemeal onion bread .	neutral	22064	1	silver/p14/d3393	some	upward_monotone	neutral	bread	onion bread	noun_hyponym_obj	I need some wholemeal bread .	I need some wholemeal onion bread .	True
22351	I know some students in that school .	I know some withdrawers in that school .	neutral	25802	1	silver/p32/d2615	some	upward_monotone	neutral	students	withdrawers	noun_hyponym_obj	I know some students in that school .	I know some withdrawers in that school .	True
19742	I need some mannequin with my work .	I need some help with my work .	entailment	23123	0	silver/p17/d2972	some	upward_monotone	entailment	help	mannequin	noun_hypernym_obj	I need some mannequin with my work .	I need some help with my work .	True
18101	I have some questions for Tom .	I have some questions for mortal .	entailment	21291	0	silver/p19/d3494	some	upward_monotone	entailment	Tom	mortal	noun_hypernym_obj	I have some questions for Tom .	I have some questions for mortal .	True
20512	Tom opened his suitcase again and put some more things in .	Tom opened his suitcase again and put some more parts in .	neutral	23915	1	silver/p49/d1683	some	upward_monotone	neutral	things	parts	noun_hyponym_obj	Tom opened his suitcase again and put some more things in .	Tom opened his suitcase again and put some more parts in .	True
17918	Each of the three boys won a admire .	Each of the three boys won a prize .	entailment	21067	0	silver/p29/d0807	each	upward_monotone	entailment	prize	admire	verb_hyponym	Each of the three boys won a admire .	Each of the three boys won a prize .	True
19335	Tom speaks French to some degree .	Tom speaks French to some extent .	neutral	22690	1	silver/p93/d2168	some	upward_monotone	neutral	extent	degree	noun_hypernym_obj	Tom speaks French to some degree .	Tom speaks French to some extent .	True
19549	She bought some rye brown bread .	She bought some rye bread .	entailment	22918	0	silver/p34/d3486	some	upward_monotone	entailment	bread	brown bread	noun_hypernym_obj	She bought some rye brown bread .	She bought some rye bread .	True
21741	Brian took some damask roses .	Brian took some roses .	entailment	25099	0	silver/p23/d0956	some	upward_monotone	entailment	roses	damask roses	noun_hypernym_obj	Brian took some damask roses .	Brian took some roses .	True
23097	El-Nashar was detained July 14 in Cairo after Britain notified Egyptian authorities that it suspected he may have had links to some of the harriers .	El-Nashar was detained July 14 in Cairo after Britain notified Egyptian authorities that it suspected he may have had links to some of the attackers .	entailment	26597	0	silver/p68/d0719	some	upward_monotone	entailment	attackers	harriers	noun_hypernym_obj	El-Nashar was detained July 14 in Cairo after Britain notified Egyptian authorities that it suspected he may have had links to some of the harriers .	El-Nashar was detained July 14 in Cairo after Britain notified Egyptian authorities that it suspected he may have had links to some of the attackers .	True
23457	There were some boats on the lake .	There were some tugboats on the lake .	neutral	26973	1	silver/p61/d1658	some	upward_monotone	neutral	boats	tugboats	noun_hyponym_obj	There were some boats on the lake .	There were some tugboats on the lake .	True
18412	If you need some model , just inquire the higher ranking official .	If you need some help , just inquire the higher ranking official .	entailment	21652	0	silver/p64/d1794	some	upward_monotone	entailment	help	model	noun_hypernym_obj	If you need some model , just inquire the higher ranking official .	If you need some help , just inquire the higher ranking official .	True
19949	There are some strange animals in the zoo .	There are some strange omnivores in the zoo .	neutral	23326	1	silver/p06/d0966	some	upward_monotone	neutral	animals	omnivores	noun_hyponym_obj	There are some strange animals in the zoo .	There are some strange omnivores in the zoo .	True
23928	Tom picked some berries and ate them .	Tom picked some bilberries and ate them .	neutral	27501	1	silver/p59/d3477	some	upward_monotone	neutral	berries	bilberries	noun_hyponym_obj	Tom picked some berries and ate them .	Tom picked some bilberries and ate them .	True
21517	There were some students in the classroom .	There were some philomaths in the classroom .	neutral	24861	1	silver/p38/d1872	some	upward_monotone	neutral	students	philomaths	noun_hyponym_obj	There were some students in the classroom .	There were some philomaths in the classroom .	True
21604	Tom talked Mary into donating some money .	Tom talked Mary into donating some bundle .	neutral	24974	1	silver/p94/d3506	some	upward_monotone	neutral	money	bundle	noun_hyponym_obj	Tom talked Mary into donating some money .	Tom talked Mary into donating some bundle .	True
23771	He likes to spend some time in solitude every day .	He likes to spend some time in place every day .	entailment	27324	0	silver/p00/d3284	some	upward_monotone	entailment	solitude	place	noun_hypernym_obj	He likes to spend some time in solitude every day .	He likes to spend some time in place every day .	True
24041	Tom had some gum stuck on the bottom of one of his shoes .	Tom had some gum stuck on the bottom of one of his fins .	neutral	27713	1	silver/p67/d3178	some	upward_monotone	neutral	shoes	fins	noun_hyponym_obj	Tom had some gum stuck on the bottom of one of his shoes .	Tom had some gum stuck on the bottom of one of his fins .	True
22393	I need some colostrum for my cereal .	I need some milk for my cereal .	entailment	25844	0	silver/p96/d1689	some	upward_monotone	entailment	milk	colostrum	noun_hypernym_obj	I need some colostrum for my cereal .	I need some milk for my cereal .	True
21544	There were some Schoolmen in the classroom .	There were some students in the classroom .	entailment	24884	0	silver/p38/d1872	some	upward_monotone	entailment	students	Schoolmen	noun_hypernym_obj	There were some Schoolmen in the classroom .	There were some students in the classroom .	True
21534	There were some students in the classroom .	There were some Renaissance men in the classroom .	neutral	24875	1	silver/p38/d1872	some	upward_monotone	neutral	students	Renaissance men	noun_hyponym_obj	There were some students in the classroom .	There were some Renaissance men in the classroom .	True
18864	I met some advocates while I was waiting for a bus .	I met some friends while I was waiting for a bus .	neutral	22177	1	silver/p22/d2459	some	upward_monotone	neutral	friends	advocates	noun_hypernym_obj	I met some advocates while I was waiting for a bus .	I met some friends while I was waiting for a bus .	True
24858	There are some boys in the park .	There are some Little Lord Fauntleroys in the park .	neutral	28621	1	gold/p61/d2308	some	upward_monotone	neutral	boys	Little Lord Fauntleroys	noun_hyponym_obj	There are some boys in the park .	There are some Little Lord Fauntleroys in the park .	True
18941	I met some upholders while I was waiting for a bus .	I met some friends while I was waiting for a bus .	entailment	22254	0	silver/p22/d2459	some	upward_monotone	entailment	friends	upholders	noun_hypernym_obj	I met some upholders while I was waiting for a bus .	I met some friends while I was waiting for a bus .	True
22536	She took some meat from the plate .	She took some mental object from the plate .	entailment	25983	0	silver/p88/d3199	some	upward_monotone	entailment	meat	mental object	noun_hypernym_obj	She took some meat from the plate .	She took some mental object from the plate .	True
24271	I could go for some cheese pizza right now .	I could go for some pizza right now .	entailment	27954	0	gold/p09/d3441	some	upward_monotone	entailment	pizza	cheese pizza	noun_hypernym_obj	I could go for some cheese pizza right now .	I could go for some pizza right now .	True
20785	Tom bought some apples and made apple sauce .	Tom bought some apples and made apple tartar sauce .	neutral	24179	1	silver/p37/d3521	some	upward_monotone	neutral	sauce	tartar sauce	noun_hyponym_obj	Tom bought some apples and made apple sauce .	Tom bought some apples and made apple tartar sauce .	True
19521	She bought some rye Boston brown bread .	She bought some rye bread .	entailment	22892	0	silver/p34/d3486	some	upward_monotone	entailment	bread	Boston brown bread	noun_hypernym_obj	She bought some rye Boston brown bread .	She bought some rye bread .	True
22449	There are some things we can change if we only offer .	There are some things we can change if we only try .	entailment	25901	0	silver/p53/d2178	some	upward_monotone	entailment	try	offer	noun_hypernym_obj	There are some things we can change if we only offer .	There are some things we can change if we only try .	True
23268	I need some accounting datum from you .	I need some information from you .	entailment	26786	0	silver/p83/d1933	some	upward_monotone	entailment	information	accounting datum	noun_hypernym_obj	I need some accounting datum from you .	I need some information from you .	True
18406	If you need some manakin , just inquire the higher ranking official .	If you need some help , just inquire the higher ranking official .	entailment	21648	0	silver/p64/d1794	some	upward_monotone	entailment	help	manakin	noun_hypernym_obj	If you need some manakin , just inquire the higher ranking official .	If you need some help , just inquire the higher ranking official .	True
21927	Tom took some money out of his wallet and gave it to Mary .	Tom took some big buck out of his wallet and gave it to Mary .	neutral	25267	1	silver/p45/d1744	some	upward_monotone	neutral	money	big buck	noun_hyponym_obj	Tom took some money out of his wallet and gave it to Mary .	Tom took some big buck out of his wallet and gave it to Mary .	True
18856	You can see some wild rabbits in the virgin forest .	You can see some wild rabbits in the forest .	entailment	22169	0	silver/p58/d0798	some	upward_monotone	entailment	forest	virgin forest	noun_hypernym_obj	You can see some wild rabbits in the virgin forest .	You can see some wild rabbits in the forest .	True
23564	Tom gave some popcorn ball to his grandchildren .	Tom gave some candy to his grandchildren .	entailment	27077	0	silver/p43/d1650	some	upward_monotone	entailment	candy	popcorn ball	noun_hypernym_obj	Tom gave some popcorn ball to his grandchildren .	Tom gave some candy to his grandchildren .	True
22947	There seems to be some genetic problem with this pest .	There seems to be some genetic problem with this animal .	entailment	26424	0	silver/p44/d2382	some	upward_monotone	entailment	animal	pest	noun_hypernym_obj	There seems to be some genetic problem with this pest .	There seems to be some genetic problem with this animal .	True
23937	Tom picked some berries and ate them .	Tom picked some huckleberries and ate them .	neutral	27519	1	silver/p59/d3477	some	upward_monotone	neutral	berries	huckleberries	noun_hyponym_obj	Tom picked some berries and ate them .	Tom picked some huckleberries and ate them .	True
23473	Tom gave some bonbon to his grandchildren .	Tom gave some candy to his grandchildren .	entailment	26990	0	silver/p43/d1650	some	upward_monotone	entailment	candy	bonbon	noun_hypernym_obj	Tom gave some bonbon to his grandchildren .	Tom gave some candy to his grandchildren .	True
20964	Tom bought some aquilegias for Mary .	Tom bought some flowers for Mary .	entailment	24344	0	silver/p12/d2031	some	upward_monotone	entailment	flowers	aquilegias	noun_hypernym_obj	Tom bought some aquilegias for Mary .	Tom bought some flowers for Mary .	True
19650	You might want to save some cake for Tom .	You might want to save some dish for Tom .	entailment	23023	0	silver/p51/d2937	some	upward_monotone	entailment	cake	dish	noun_hypernym_obj	You might want to save some cake for Tom .	You might want to save some dish for Tom .	True
20901	Tom bought some blue marguerites for Mary .	Tom bought some flowers for Mary .	entailment	24281	0	silver/p12/d2031	some	upward_monotone	entailment	flowers	blue marguerites	noun_hypernym_obj	Tom bought some blue marguerites for Mary .	Tom bought some flowers for Mary .	True
22730	It rains in some places .	It rains in some overlooks .	neutral	26198	1	silver/p25/d2857	some	upward_monotone	neutral	places	overlooks	noun_hyponym_obj	It rains in some places .	It rains in some overlooks .	True
21737	Brian took some Rosa chinenses .	Brian took some roses .	entailment	25097	0	silver/p23/d0956	some	upward_monotone	entailment	roses	Rosa chinenses	noun_hypernym_obj	Brian took some Rosa chinenses .	Brian took some roses .	True
22582	Tom gave Mary some good advice .	Tom gave girl some good advice .	neutral	26034	1	silver/p18/d2101	some	upward_monotone	neutral	Mary	girl	verb_hyponym	Tom gave Mary some good advice .	Tom gave girl some good advice .	True
21823	Brian took some roses .	Brian took some Rosa eglanterias .	neutral	25140	1	silver/p23/d0956	some	upward_monotone	neutral	roses	Rosa eglanterias	noun_hyponym_obj	Brian took some roses .	Brian took some Rosa eglanterias .	True
19298	We need to buy some dog food .	We need to buy some dog nutrition .	neutral	22659	1	silver/p93/d2450	some	upward_monotone	neutral	food	nutrition	noun_hyponym_obj	We need to buy some dog food .	We need to buy some dog nutrition .	True
21851	There are some books that you are looking for that may be found .	There are some dramatic works that you are looking for that may be found .	entailment	25171	0	silver/p15/d2053	some	upward_monotone	entailment	books	dramatic works	noun_hypernym_obj	There are some books that you are looking for that may be found .	There are some dramatic works that you are looking for that may be found .	True
18938	I met some friends while I was waiting for a bus .	I met some wassailers while I was waiting for a bus .	neutral	22251	1	silver/p22/d2459	some	upward_monotone	neutral	friends	wassailers	noun_hyponym_obj	I met some friends while I was waiting for a bus .	I met some wassailers while I was waiting for a bus .	True
21349	Tom bought some flowers for Mary .	Tom bought some Virginia spring beauties for Mary .	neutral	24691	1	silver/p12/d2031	some	upward_monotone	neutral	flowers	Virginia spring beauties	noun_hyponym_obj	Tom bought some flowers for Mary .	Tom bought some Virginia spring beauties for Mary .	True
22287	I need some body lotion .	I need some body therapeutic .	entailment	25724	0	silver/p32/d2999	some	upward_monotone	entailment	lotion	therapeutic	noun_hypernym_obj	I need some body lotion .	I need some body therapeutic .	True
23567	Tom gave some candy to his grandchildren .	Tom gave some rock candy to his grandchildren .	neutral	27080	1	silver/p43/d1650	some	upward_monotone	neutral	candy	rock candy	noun_hyponym_obj	Tom gave some candy to his grandchildren .	Tom gave some rock candy to his grandchildren .	True
19220	We need to buy some dog food .	We need to buy some dog drinkable .	neutral	22603	1	silver/p93/d2450	some	upward_monotone	neutral	food	drinkable	noun_hyponym_obj	We need to buy some dog food .	We need to buy some dog drinkable .	True
21784	Brian took some roses .	Brian took some Japanese roses .	neutral	25120	1	gold/p84/d0784	some	upward_monotone	neutral	roses	Japanese roses	noun_hyponym_obj	Brian took some roses .	Brian took some Japanese roses .	True
21418	She drowned herself in some lake .	She drowned herself in some loch .	neutral	24759	1	silver/p12/d1413	some	upward_monotone	neutral	lake	loch	noun_hyponym_obj	She drowned herself in some lake .	She drowned herself in some loch .	True
23425	There were some boats on the lake .	There were some packet boats on the lake .	neutral	26941	1	silver/p61/d1658	some	upward_monotone	neutral	boats	packet boats	noun_hyponym_obj	There were some boats on the lake .	There were some packet boats on the lake .	True
